T,He,H₂,ar,O₂,H₂O,CO₂
275.0,20.786149502805713,28.632960539217283,29.073909723626446,29.27720777489228,33.497204023626445,36.055469701361005
280.0,20.786149502502255,28.682586799538818,29.079031999479316,29.2962004594367,33.514619609112536,36.29367774597946
285.0,20.78614950221792,28.728622662044344,29.084567555319886,29.316472122220343,33.53317567759298,36.52986259370152
290.0,20.78614950195132,28.77128473116946,29.090531523992507,29.338030049198554,33.552883415861096,36.763941002323925
295.0,20.78614950170118,28.810779877972852,29.096938427473184,29.36087698053408,33.57375039221265,36.99584427090621
300.0,20.78614950146632,28.84730551475738,29.103802137861017,29.38501127930139,33.59578060294338,37.22551667629731
305.0,20.78614950124567,28.88104986796275,29.11113584205509,29.410427126910694,33.61897456607949,37.45291405249643
310.0,20.786149501038256,28.912192249163137,29.118952010049366,29.43711474013555,33.643329452832205,37.67800250300586
315.0,20.786149500843162,28.94090332424657,29.12726236679041,29.465060604970336,33.668839248770695,37.90075723613134
320.0,20.786149500659572,28.967345380958598,29.136077867550622,29.4942477229229,33.69549493789629,38.12116151340017
325.0,20.786149500486715,28.991672595006598,29.145408676772956,29.524655865746283,33.723284703773594,38.339205701644126
350.0,20.78614949976056,29.086447596368014,29.200090795035823,29.694110631987314,33.87866245402887,39.394084945442124
375.0,20.786149499216847,29.147273159204698,29.268703893493747,29.88965039171549,34.059393248961364,40.391328014112105
400.0,20.7861494988069,29.185856003284105,29.35158154282378,30.106612458065296,34.26215166865521,41.33390224700208
425.0,20.786149498496595,29.21073218275411,29.44856358821503,30.34002377881091,34.48337972540397,42.22551391118617
450.0,20.786149498261494,29.22796247152775,29.559057357957542,30.585051058833997,34.71969641948464,43.07001704359925
475.0,20.78614949808384,29.241734567020487,29.682119303627708,30.837282991741315,34.96814184039395,43.871098430306624
500.0,20.78614949795048,29.254861333149023,29.81654493147116,31.092877821240936,35.22628524647502,44.632127221582884
525.0,20.78614949785157,29.269176491622414,29.960957179858863,31.348614318432716,35.49223604655917,45.35610165370433
550.0,20.786149497779665,29.285837520264494,30.113886419584038,31.60187989347441,35.76459421259612,46.04565106974009
575.0,20.78614949772902,29.305549742619576,30.273838184882475,31.850622036471197,36.04236932039561,46.7030670676462
600.0,20.786149497695227,29.328726685562785,30.439347133995888,32.09328171312777,36.324889083166,47.3303475168729
625.0,20.786149497674817,29.355600927105463,30.609017443656747,32.328721008314396,36.61171081578808,47.92924364955443
650.0,20.786149497665097,29.386297813437608,30.78155090332792,32.556152525482474,36.90254344101657,48.50130468110471
675.0,20.786149497663892,29.420882239076914,30.955764519235245,32.775074680509505,37.19718347594089,49.04791717230235
700.0,20.7861494976695,29.459386538515176,31.130599611895768,32.985214791780365,37.49546568563909,49.570338078599114
725.0,20.786149497680547,29.501825626131794,31.305124325925846,33.186480468169904,37.79722744026752,50.06972146595705
750.0,20.78614949769592,29.548203918830076,31.478531271121962,33.3789189803826,38.102284951218444,50.54713943690729
775.0,20.78614949771474,29.598517290043027,31.650131753113023,33.56268387365966,38.41041923154132,51.00359807083645
800.0,20.78614949773626,29.65275230668068,31.81934777863429,33.738007899622836,38.72136962623225,51.440049254903656
900.0,20.786149497839123,29.908200370970498,32.4641488767958,34.36122592800992,39.986711189517486,53.00333436883723
1000.0,20.78614949795334,30.221643246708837,33.0468335527769,34.87714953467342,41.26729817459494,54.3126327902096
1100.0,20.786149498067697,30.58487812499176,33.56352271641108,35.30944421083553,42.53582393175412,55.41249530142152
1200.0,20.786149498177213,30.986644672677745,34.01778231831962,35.67913006215467,43.76779768397066,56.34043408293051
1300.0,20.786149498279823,31.414525386873397,34.416379950435434,36.00344337432522,44.94461114447611,57.127480973094066
1400.0,20.786149498374918,31.856610119734437,34.76694291004174,36.29580753895542,46.05411881431206,57.79893791237472
1500.0,20.786149498462567,32.302531707059345,35.0767913695702,36.56623184214866,47.08986318616906,58.375252050304404
1600.0,20.78614949854316,32.743910217978694,35.35243704617482,36.821862478338204,48.049810068352,58.87288270297524
1700.0,20.78614949861723,33.17438754834176,35.5994348476597,37.06755844915168,48.935072017496935,59.30507733540383
1800.0,20.786149498685358,33.58943235426015,35.82240826177409,37.306427368250105,49.74882453406058,59.682525073469215
1900.0,20.78614949874808,33.986046464092446,36.02515024780958,37.54028936441895,50.495468547940135,60.013887383849024
2000.0,20.78614949880592,34.362453254877444,36.210748116450574,37.770057799512934,51.1800230027956,60.30621993634802
2100.0,20.78614949885936,34.71781040607904,36.38170698491629,37.996038257602294,51.807706439227566,60.565304101769875
2200.0,20.786149498908827,35.0519649841769,36.54006056769187,38.21815437483184,52.38366306756837,60.79590608639255
2300.0,20.786149498954696,35.36525481662949,36.68746549789752,38.43611220562271,52.912794165948014,61.00197929802427
2400.0,20.786149498997325,35.65835302934774,36.82527907246954,38.64951536419179,53.39966348618977,61.18682266561805
2500.0,20.786149499037013,35.93214966826339,36.954621983308954,38.85794224894979,53.84845296873462,61.35320495101928
2600.0,20.786149499074035,36.18766363276664,37.07642819572449,39.06099503536753,54.26295147839909,61.50346282754449
2700.0,20.786149499108635,36.42597856859933,37.19148419691233,39.258328308999126,54.64656429260443,61.63957868743711
2800.0,20.786149499141036,36.64819724431475,37.300459650853654,39.449663486245434,55.002334839715964,61.763242730462906
2900.0,20.786149499171405,36.85540992035558,37.40393121578105,39.634793670458016,55.3329729306377,61.87590280716784
3000.0,20.786149499199944,37.04867314534661,37.502400984490976,39.81358235857572,55.64088568607751,61.97880467192501
